X,y
"[0.81648247 0.80309431 0.77282817 0.74907775 0.72596517 0.70235506
 0.69706455 0.72547456 0.74871971 0.70055868 0.69911708 0.73528926
 0.76066889 0.70829392 0.7103713  0.74479134 0.76992463 0.72489806
 0.72501076 0.74772002 0.7662551  0.78124738 0.7370842  0.69771773
 0.67447249 0.66238143 0.70987    0.65699061 0.67118309 0.69150119
 0.7302448  0.67215737 0.69008696 0.708579   0.74633016 0.6931541
 0.70864338 0.72566584 0.75793178 0.71375056 0.72463096 0.74062646]",violento
"[0.79363796 0.78339584 0.75828579 0.73789112 0.71497267 0.701021
 0.68913702 0.71308778 0.73360872 0.69693533 0.68571718 0.71662531
 0.74216504 0.69872037 0.6896787  0.72135482 0.74859474 0.70729925
 0.69945474 0.72060293 0.74048477 0.7847162  0.75250621 0.71452108
 0.6881624  0.6736569  0.73120778 0.6747414  0.6836415  0.70096452
 0.74876444 0.68499396 0.70047648 0.71996749 0.76006564 0.6997858
 0.71432673 0.73327615 0.76628957 0.71678849 0.72730068 0.74442519]",violento
"[0.8085098  0.78496918 0.79612519 0.82429577 0.85269354 0.82564005
 0.8522108  0.85075874 0.83847716 0.86088297 0.87887534 0.87042032
 0.85836241 0.89127718 0.89899787 0.88881381 0.8780144  0.91645734
 0.91994088 0.91031912 0.90026266 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",yo
"[0.9757875  0.91194847 0.89108356 0.89253011 0.90211114 0.88359141
 0.87869821 0.88889947 0.89747037 0.9147504  0.92056807 0.92585916
 0.9278081  0.94845288 0.95018098 0.95231294 0.95322354 0.97988359
 0.97864269 0.97920565 0.98053434 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",yo
"[0.82692004 0.79904468 0.80902324 0.83644364 0.86574062 0.83382473
 0.86016041 0.86370669 0.85475674 0.86801741 0.88719288 0.88292998
 0.87208517 0.89878424 0.90821765 0.90032924 0.88945364 0.92454051
 0.92986625 0.92147749 0.91153759 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",yo
"[0.78618708 0.7702365  0.78658494 0.81886109 0.84651519 0.81416335
 0.84213106 0.84052741 0.82698787 0.85018683 0.86886266 0.85832964
 0.84381784 0.88015007 0.88742515 0.87467149 0.86126981 0.90432171
 0.90683907 0.89444334 0.88176592 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",yo
"[0.96343568 0.90694027 0.88997876 0.89334986 0.90386995 0.88297738
 0.8871364  0.9027081  0.9109785  0.91321639 0.92808881 0.93823645
 0.93928532 0.94772827 0.95806444 0.9625358  0.96069885 0.98094158
 0.98851237 0.98826297 0.98516209 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",yo
"[0.97506719 0.91431762 0.89211979 0.89232843 0.90071697 0.87788513
 0.87611335 0.89007455 0.89911208 0.90597828 0.9164892  0.92662666
 0.92957065 0.939054   0.94809738 0.95434593 0.95537119 0.97206087
 0.97783902 0.98155947 0.9828761  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",yo
"[0.94407149 0.87375339 0.79595428 0.75419294 0.76047985 0.82243345
 0.77011047 0.78126507 0.79764089 0.85915207 0.80528912 0.8130695
 0.8296974  0.89065916 0.83948022 0.84735235 0.86335433 0.91699795
 0.86940991 0.87806842 0.89726162 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",fosforo
"[0.95147874 0.88540459 0.85700505 0.86762902 0.89759037 0.87984106
 0.90608978 0.8979354  0.88822334 0.92841183 0.94076685 0.92787197
 0.92276887 0.96882126 0.96580628 0.95468532 0.95184397 1.00164414
 0.98398523 0.97624149 0.98009555 1.10777918 1.07400211 1.03520191
 1.03593405 1.06183863 1.02339077 1.08294236 1.08379    1.06626986
 1.06475325 1.14040969 1.1253816  1.10283639 1.1121307  1.17702013
 1.16117678 1.14067381 1.1574991  1.20246154 1.19039129 1.17433449]",fosforo
"[0.93793781 0.86383358 0.78525502 0.74046752 0.74673061 0.81007538
 0.75527221 0.76382173 0.77915152 0.84429944 0.78633045 0.79032792
 0.80824927 0.87386592 0.8210258  0.82630426 0.84321453 0.89810481
 0.84825656 0.85579755 0.875606   0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",fosforo
"[0.9440207  0.88247158 0.85633136 0.86812282 0.90187916 0.87796265
 0.91151267 0.90390565 0.89254166 0.92346864 0.94476231 0.93185379
 0.92378549 0.96326057 0.96808484 0.95774377 0.95345589 0.99655202
 0.98578414 0.97796356 0.97966377 1.11852782 1.08481036 1.05625779
 1.05911745 1.08453978 1.04583893 1.1040524  1.09477353 1.07758839
 1.08498255 1.15388871 1.13082929 1.1097573  1.12879676 1.18845096
 1.16453002 1.1405974  1.17127976 1.21075245 1.19027226 1.17132025]",fosforo
"[0.95110723 0.92739073 0.93179418 0.93658258 0.92561554 0.99178499
 1.03234592 1.06153033 1.08745318 1.01446283 1.04985204 1.07591976
 1.09776942 1.02725112 1.05049285 1.06714978 1.07859704 1.03360749
 1.04504646 1.05272091 1.0576413  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",vomitar
"[1.00756679 0.96312543 0.94258028 0.9305122  0.9132712  0.98419776
 1.00124312 1.01250259 1.02198678 1.01463165 1.02080961 1.02237978
 1.02247634 1.03602819 1.03275931 1.02461028 1.01626878 1.05067614
 1.04290953 1.03267159 1.02223454 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",vomitar
"[0.96671546 0.94015418 0.94083435 0.9442646  0.93343895 1.00095167
 1.03916871 1.06637929 1.09048769 1.02501384 1.05800691 1.08349387
 1.10479691 1.03848963 1.06121664 1.08053306 1.09439229 1.045029
 1.05730261 1.06694568 1.07341266 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",vomitar
"[0.93620091 0.91327009 0.9193332  0.92767483 0.92031637 0.97902981
 1.02016961 1.04869444 1.07296306 1.00059057 1.03713216 1.06479115
 1.08724401 1.01254712 1.03887159 1.06011555 1.07432684 1.01885017
 1.03460267 1.0456985  1.05271458 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",vomitar
"[1.00493441 0.9674379  0.95042273 0.93879779 0.92167701 0.9897439
 1.00996712 1.0223756  1.03233455 1.01883135 1.0264099  1.02473178
 1.02141262 1.04041799 1.04150654 1.0341679  1.02654574 1.05632222
 1.05416066 1.04445395 1.03463773 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",vomitar
"[1.00112013 0.95708614 0.93490402 0.92093076 0.90351111 0.97234097
 0.98776479 0.9965311  1.00395221 1.00238882 1.00570005 1.00399385
 1.00140647 1.02427755 1.0193618  1.01034235 1.00178481 1.03972964
 1.03099997 1.01982171 1.00908687 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",vomitar
"[0.85723164 0.81388446 0.76664431 0.73217563 0.70776961 0.74819154
 0.73806686 0.75616808 0.7680731  0.76299702 0.75905486 0.77380419
 0.78519241 0.78408258 0.78110777 0.79399117 0.80424993 0.80677475
 0.8027778  0.81354808 0.82235791 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",chocar
"[0.75460598 0.71283219 0.69216234 0.68676955 0.6859565  0.71483284
 0.70110324 0.69985575 0.70369691 0.74268798 0.72654626 0.72211884
 0.72580328 0.76746166 0.75024288 0.74376383 0.74524901 0.79005321
 0.77387298 0.76682467 0.7669394  0.83375077 0.79559825 0.75964384
 0.73925013 0.73670112 0.73839269 0.71797096 0.70406243 0.69432826
 0.75132689 0.74071837 0.75204915 0.76314707 0.77253229 0.76663673
 0.77657324 0.78691984 0.79567782 0.79153792 0.79947492 0.80757473]",chocar
"[0.85597175 0.81573102 0.77365077 0.74723962 0.7369411  0.75613664
 0.73691293 0.72914915 0.72356352 0.76710518 0.75494771 0.76304249
 0.77039912 0.78525376 0.77775008 0.78717396 0.79613696 0.80641165
 0.80122955 0.8102182  0.81879407 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",chocar
"[0.86421639 0.82271225 0.7783279  0.74902638 0.73516321 0.74958232
 0.73386476 0.74817143 0.7583345  0.76128576 0.7536809  0.76912064
 0.78079289 0.78020005 0.77467387 0.78834389 0.79930389 0.80172324
 0.79736724 0.80830323 0.81758591 0.75609083 0.71257816 0.69440082
 0.69911201 0.70730381 0.71330425 0.71005355 0.70689345 0.70300631
 0.74718386 0.73885134 0.73446461 0.73436465 0.77761199 0.76528852
 0.76112471 0.76070042 0.80282032 0.79020782 0.78522689 0.78530031]",chocar
"[0.76777135 0.74361698 0.72235036 0.70779433 0.70052832 0.73199648
 0.71162892 0.70671387 0.70586843 0.74449437 0.72305177 0.71634198
 0.71622814 0.75719759 0.73758784 0.73001413 0.72939325 0.77145505
 0.75451623 0.7474335  0.74742521 0.84282248 0.8008953  0.76153722
 0.73828058 0.73264126 0.73836466 0.72055432 0.7139459  0.70871387
 0.75494152 0.74595925 0.75684331 0.76669617 0.77891354 0.77342002
 0.782781   0.7926086  0.80438088 0.80002459 0.80804857 0.81626702]",chocar
"[0.74073656 0.69735403 0.68057074 0.68286962 0.69053984 0.70518671
 0.69610167 0.69382766 0.6958964  0.73615185 0.72214304 0.71566338
 0.71794342 0.76311137 0.74493049 0.73695837 0.73748759 0.78619415
 0.76765905 0.75899181 0.75813041 0.8450731  0.80671294 0.76759385
 0.74350266 0.7378009  0.74239657 0.71999676 0.70576909 0.69613819
 0.75297462 0.74104093 0.75343168 0.76514111 0.7728579  0.76756882
 0.77892751 0.79002187 0.79539765 0.79252685 0.8016577  0.8102093 ]",chocar
"[0.59231012 0.5335656  0.4638122  0.41532187 0.36810204 0.48761413
 0.44589679 0.41944629 0.39713611 0.53060396 0.53347595 0.54011621
 0.54565839 0.57712643 0.60146481 0.60563116 0.60304916 0.6230239
 0.63942317 0.64410063 0.64094391 1.01440617 0.96669334 0.90302091
 0.863056   0.84657032 0.88106706 0.81014851 0.76508091 0.72778492
 0.90273373 0.83612836 0.7959741  0.76679089 0.93103888 0.88591999
 0.90321281 0.926364   0.96238875 0.92406615 0.93586884 0.95442064]",chocar
"[0.6933414  0.63565168 0.5654229  0.51143326 0.46581961 0.59827616
 0.57018384 0.55011308 0.53257513 0.64094467 0.64164299 0.6479612
 0.65376873 0.68544439 0.69438511 0.69609428 0.6931891  0.7280271
 0.7338934  0.73235415 0.72545921 1.04339909 1.00124217 0.94114543
 0.89679866 0.87405929 0.92092596 0.84934471 0.80264192 0.76540668
 0.93077509 0.8615673  0.81741524 0.78721312 0.94809247 0.90386388
 0.90928102 0.92341597 0.97033807 0.94061752 0.94932168 0.96245213]",chocar
"[0.64356889 0.58254636 0.50737136 0.45522412 0.40689022 0.52637386
 0.4771045  0.44566126 0.41897545 0.56733539 0.56028525 0.55996632
 0.5605779  0.61288053 0.63175547 0.63834208 0.63844307 0.65928754
 0.67282916 0.6799495  0.67891744 0.99088669 0.94510668 0.88287509
 0.84264017 0.82325301 0.86456873 0.79412689 0.74956811 0.71250762
 0.88741324 0.82586579 0.7893536  0.76283418 0.91657238 0.8761532
 0.8934143  0.9155331  0.94819156 0.91345696 0.92505484 0.94259057]",chocar
"[1.02686005 0.97998598 0.91944182 0.88296256 0.87261151 0.88395111
 0.8079937  0.75922829 0.72016834 0.90168344 0.83985127 0.79911168
 0.76859836 0.92840732 0.89655096 0.91937109 0.94411435 0.9581658
 0.93364208 0.95112994 0.97076491 0.53670629 0.48155484 0.41828637
 0.37561133 0.33213299 0.45235375 0.42064508 0.40220368 0.3863145
 0.49672506 0.50697728 0.51892264 0.52734804 0.54117409 0.56798727
 0.57210725 0.56923214 0.5830008  0.60306265 0.60558065 0.59943074]",chocar
"[0.73290842 0.67160555 0.59773233 0.5432378  0.49902234 0.62344457
 0.58938461 0.56498311 0.54379481 0.6660457  0.65973891 0.66156139
 0.66397543 0.71180428 0.71626693 0.7218688  0.72288895 0.75711795
 0.76011084 0.76170446 0.75844016 1.01760922 0.97600617 0.9151228
 0.87164772 0.84843784 0.90081932 0.82763579 0.78308987 0.74709439
 0.91482689 0.84473517 0.80036803 0.76946387 0.93545856 0.88762335
 0.89359895 0.90659806 0.96008049 0.92413468 0.92992723 0.94039325]",chocar
"[1.07059556 1.02626195 0.96517344 0.9212237  0.89956732 0.94264303
 0.86920033 0.82338299 0.78620057 0.95012653 0.8791157  0.83327371
 0.80096551 0.96482325 0.91868382 0.92963388 0.94840438 0.98383406
 0.95297991 0.96528313 0.98206429 0.65449072 0.60164243 0.53526093
 0.48310618 0.43789296 0.5760951  0.55403121 0.53672923 0.52086837
 0.61829266 0.62522225 0.63529784 0.64365882 0.66116495 0.67001098
 0.67136573 0.66929268 0.70122049 0.70812859 0.70528342 0.6979933 ]",chocar
"[0.94780799 0.94027501 0.95557745 0.98263217 1.0028012  0.92565662
 0.96103888 0.98698502 1.00621741 0.94353614 1.00341447 1.00593941
 0.99427756 0.96770336 1.02314358 1.01744829 0.99946704 0.99398633
 1.0302732  1.02367547 1.00988368 1.11934889 1.07828695 1.04947334
 1.04745399 1.05552732 1.03765477 1.02952908 1.02358447 1.01878166
 1.07086898 1.06713916 1.07321307 1.07861169 1.10529418 1.09847297
 1.10337463 1.10813443 1.13883325 1.12641772 1.129307   1.13383858]",dolorestomago
"[0.98452182 0.95645337 0.96219151 0.98894782 1.01043764 0.949024
 0.97555871 0.99265517 1.00509722 0.9800848  1.01763385 1.01301422
 1.00059898 1.01294252 1.04186616 1.03462838 1.02362247 1.04515825
 1.06400493 1.0554902  1.04581167 1.08705608 1.05647039 1.0390335
 1.04191808 1.05257981 1.01936752 1.02200442 1.02917721 1.03726216
 1.04556989 1.06707803 1.07703365 1.07808779 1.07668558 1.09958316
 1.10330628 1.09796928 1.10665557 1.12077422 1.12109357 1.11555738]",dolorestomago
"[1.11620511 1.07642356 1.05132598 1.05232864 1.06307636 1.03771483
 1.03380209 1.03003622 1.02688386 1.07072464 1.07248151 1.07780087
 1.08050842 1.10490609 1.10306713 1.10716955 1.10948228 1.13831796
 1.13037828 1.1331442  1.1359574  0.97350659 0.96390381 0.97535388
 1.00125242 1.01976172 0.94357155 0.97959303 1.0053838  1.02488797
 0.96027619 1.02018157 1.02217186 1.01042552 0.98510862 1.04003546
 1.03611068 1.0199592  1.01335582 1.05071669 1.04636602 1.03417286]",dolorestomago
"[0.92236845 0.91914613 0.93920278 0.96995906 0.99100066 0.90699473
 0.94826181 0.97880355 1.00235215 0.92048452 0.98616841 0.98474617
 0.96853038 0.94176746 1.00257066 0.99484684 0.97387061 0.96659726
 1.00937561 1.00157345 0.98485656 1.11908649 1.07778168 1.04576136
 1.04014091 1.04688759 1.03699816 1.02515878 1.01717253 1.01140437
 1.07067501 1.06026241 1.06612131 1.07334816 1.10485743 1.09180844
 1.0954666  1.10044453 1.13709435 1.12094924 1.12191454 1.12594615]",dolorestomago
"[1.08170413 1.05395622 1.03858037 1.04099152 1.05040227 1.02110241
 1.02600778 1.03605259 1.04588909 1.04590688 1.06930702 1.07909456
 1.07902536 1.07548615 1.10160943 1.10523666 1.09864644 1.10439821
 1.12213059 1.12236197 1.11527009 1.00860287 0.97784123 0.97802661
 1.00146684 1.02535428 0.96957859 0.99111074 1.00651568 1.0164388
 1.00044253 1.03232165 1.02851561 1.01671596 1.03335736 1.05766705
 1.0521204  1.04208006 1.06551862 1.08230894 1.07470134 1.06512069]",dolorestomago
"[0.95784006 0.93298905 0.94044208 0.96973565 0.99453941 0.92894009
 0.95939506 0.97920114 0.99324784 0.95851607 1.0010323  0.99610547
 0.98167394 0.99039341 1.02338227 1.01702402 1.00470665 1.02217719
 1.0446804  1.03708657 1.02650599 1.08656769 1.05590622 1.03626746
 1.03755503 1.04625691 1.01745442 1.01799943 1.02162782 1.02604324
 1.04510507 1.06100083 1.06869938 1.06805101 1.07667873 1.09337158
 1.0964882  1.09181922 1.10695176 1.11747825 1.11830734 1.11360186]",dolorestomago
"[0.99796588 0.97644062 0.9671775  0.96910219 0.97209724 1.01659862
 1.03492846 1.04917818 1.06152522 1.03837523 1.05938839 1.07291928
 1.08337487 1.05159382 1.07336575 1.08574204 1.09393959 1.05905246
 1.07889877 1.08932871 1.09618329 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",nacerbebe
"[1.09715187 1.06816157 1.04909352 1.04068593 1.03464276 1.09054266
 1.09611485 1.0990179  1.10108346 1.11294944 1.11941231 1.12185354
 1.12286342 1.12701402 1.13384583 1.13466158 1.13392709 1.13378798
 1.14094086 1.14304597 1.14323376 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",nacerbebe
"[1.02272571 0.99794617 0.98620443 0.98569947 0.98814652 1.03335489
 1.05085522 1.06309703 1.07440653 1.05645002 1.07653767 1.08751728
 1.09737925 1.07027204 1.08892664 1.09659195 1.10201704 1.07818334
 1.09314399 1.09850332 1.10146534 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",nacerbebe
"[0.97036275 0.95058011 0.9442791  0.94815076 0.95496341 0.99130471
 1.01294322 1.02890325 1.0414539  1.01107684 1.03800428 1.053969
 1.06483816 1.02345374 1.05028035 1.0635648  1.07130469 1.03021744
 1.05318458 1.06512018 1.07232803 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",nacerbebe
"[1.09176844 1.06440676 1.04732021 1.0408151  1.03670733 1.09005368
 1.09841358 1.10254494 1.10575402 1.11234652 1.12287403 1.1263362
 1.12790398 1.12638822 1.13791203 1.13938609 1.13880539 1.13322101
 1.14407283 1.14706726 1.14727326 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",nacerbebe
"[1.10472258 1.07730758 1.05450111 1.03957426 1.02965799 1.09160746
 1.09146993 1.09245927 1.09237681 1.11353336 1.11250423 1.11241596
 1.11161769 1.12743845 1.1269055  1.12543335 1.12364065 1.13407746
 1.13557451 1.13545674 1.1350846  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",nacerbebe
"[0.7819255  0.80889685 0.8159721  0.82118185 0.8262699  0.78523205
 0.83233435 0.84714097 0.85229312 0.78292526 0.83730814 0.84547927
 0.84332236 0.78663141 0.8387802  0.84270529 0.83496656 0.7921516
 0.83213815 0.83758058 0.83225643 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",ataquecorazon
"[0.84170351 0.83155426 0.8095432  0.79211358 0.78313279 0.75956663
 0.7704331  0.78256411 0.79237605 0.7582715  0.77116418 0.78664533
 0.79865172 0.76365482 0.77330214 0.78934006 0.80087796 0.77572684
 0.78026369 0.79185421 0.80176132 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",ataquecorazon
"[0.79108394 0.81770796 0.82286985 0.82686135 0.8310829  0.78805905
 0.84230011 0.84807815 0.84035773 0.7848899  0.84636116 0.84950991
 0.84082816 0.78758641 0.84605909 0.8455703  0.83335991 0.79354771
 0.83720003 0.83932582 0.83055239 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",ataquecorazon
"[0.84586017 0.83687162 0.81533198 0.79872849 0.79083957 0.76495482
 0.77998892 0.79722773 0.80665136 0.76416271 0.7824881  0.79997008
 0.80970071 0.76936694 0.78483176 0.80180885 0.81031059 0.7806167
 0.79190831 0.80605782 0.81474653 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",ataquecorazon
"[0.83367571 0.82699578 0.80792524 0.79520881 0.78797784 0.74244983
 0.76533539 0.78997728 0.80098649 0.74259171 0.77114325 0.792886
 0.79926161 0.75037964 0.77540807 0.79690721 0.80412178 0.76329756
 0.77904806 0.79625222 0.80432284 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",ataquecorazon
"[0.89413605 0.8734693  0.8458011  0.81850927 0.79107895 0.84344387
 0.79668311 0.76647909 0.74374555 0.84775389 0.79861129 0.76595577
 0.74163556 0.85586327 0.81401151 0.78729185 0.7654665  0.86614881
 0.8377784  0.81901574 0.80404681 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",esposa
"[0.76564879 0.72999875 0.69686927 0.6733409  0.65065661 0.70244689
 0.66941416 0.65578478 0.64463513 0.72511103 0.69450572 0.68042446
 0.668406   0.75113757 0.72640236 0.7138808  0.70166758 0.77809179
 0.76705019 0.75904781 0.75031287 0.75386621 0.72352818 0.6968688
 0.67915864 0.66525686 0.69245362 0.6716686  0.66168808 0.65960819
 0.69817144 0.67337447 0.67712616 0.68856406 0.705294   0.68126019
 0.69110822 0.70648854 0.71493075 0.69173231 0.69515927 0.70596494]",esposa
"[0.89484112 0.87172591 0.83978589 0.81019467 0.78180008 0.83917951
 0.79393379 0.76427868 0.74109224 0.84490627 0.7967842  0.76497417
 0.74103631 0.85487118 0.81195235 0.78501411 0.76311394 0.86740806
 0.83888215 0.81992348 0.80457485 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",esposa
